"species","sample","ind","loc","ring","year","comment"
"MT","1","1","Cap","LW",1974,"valid"
"MT","1","1","Cap","LW",1975,"valid"
"MT","1","1","Cap","LW",1976,"valid"
"MT","1","1","Cap","LW",1979,"valid"
"MT","1","1","Cap","LW",1981,"valid"
"MT","1","1","Cap","LW",1985,"valid"
"MT","1","1","Cap","LW",1986,"valid"
"MT","1","1","Cap","LW",1987,"valid"
"MT","1","1","Cap","LW",1989,"valid"
"MT","1","1","Cap","LW",1990,"rechtDeutlich"
"MT","1","1","Cap","LW",1996,"valid"
"MT","1","1","Cap","LW",2002,"valid"
"MT","2","1","Cap","LW",1965,"valid"
"MT","2","1","Cap","LW",1966,"valid"
"MT","2","1","Cap","LW",1967,"valid"
"MT","2","1","Cap","LW",1969,"valid"
"MT","2","1","Cap","LW",1975,"valid"
"MT","2","1","Cap","LW",1977,"valid"
"MT","2","1","Cap","LW",1979,"valid"
"MT","2","1","Cap","LW",1980,"valid"
"MT","2","1","Cap","LW",1983,"valid"
"MT","2","1","Cap","LW",1984,"valid"
"MT","2","1","Cap","LW",1985,"valid"
"MT","2","1","Cap","LW",1986,"valid"
"MT","2","1","Cap","LW",1987,"valid"
"MT","2","1","Cap","LW",1989,"valid"
"MT","2","1","Cap","LW",1990,"valid"
"MT","2","1","Cap","LW",1991,"valid"
"MT","2","1","Cap","LW",1992,"valid"
"MT","2","1","Cap","LW",1993,"valid"
"MT","2","1","Cap","LW",1994,"valid"
"MT","2","1","Cap","LW",1995,"valid"
"MT","2","1","Cap","LW",1996,"valid"
"MT","2","1","Cap","LW",1997,"valid"
"MT","2","1","Cap","LW",1998,"valid"
"MT","2","1","Cap","LW",1999,"valid"
"MT","3","1","Cap","LW",1966,"valid"
"MT","3","1","Cap","LW",1970,"valid"
"MT","3","1","Cap","LW",1971,"valid"
"MT","3","1","Cap","LW",1972,"valid"
"MT","3","1","Cap","LW",1973,"valid"
"MT","3","1","Cap","LW",1982,"valid"
"MT","3","1","Cap","LW",1984,"valid"
"MT","3","1","Cap","LW",1987,"valid"
"MT","3","1","Cap","LW",1992,"valid"
"MT","3","1","Cap","LW",1997,"valid"
"MT","3","1","Cap","LW",1999,"valid"
"MT","3","1","Cap","LW",2002,"evtlMixed"
"MT","3","1","Cap","LW",2003,"evtlMixed"
"MT","3","1","Cap","LW",2004,"valid"
"MT","3","1","Cap","LW",2008,"valid"
"MT","3","1","Cap","LW",2009,"valid"
"MT","3","1","Cap","LW",2010,"valid"
"MT","3","1","Cap","LW",2011,"valid"
"MT","3","1","Cap","LW",2012,"valid"
"MT","3","1","Cap","LW",2013,"valid"
"MT","3","1","Cap","LW",2015,"valid"
"MT","3","1","Cap","LW",2016,"valid"
"MT","3","1","Cap","LW",2017,"valid"
"MT","3","1","Cap","LW",2019,"valid"
"MT","3","1","Cap","LW",2021,"valid"
"MT","3","2","Cap","LW",1980,"valid"
"MT","3","2","Cap","LW",1982,"ganzevtlMixed"
"MT","3","2","Cap","LW",1983,"valid"
"MT","3","2","Cap","LW",1984,"valid"
"MT","3","2","Cap","LW",1989,"evtlMixed"
"MT","3","2","Cap","LW",1990,"valid"
"MT","3","2","Cap","LW",1993,"valid"
"MT","3","2","Cap","LW",1997,"valid"
"MT","3","2","Cap","LW",1998,"valid"
"MT","3","2","Cap","LW",2000,"valid"
"MT","3","2","Cap","LW",2001,"valid"
"MT","3","2","Cap","LW",2002,"valid"
"MT","3","2","Cap","LW",2005,"valid"
"MT","3","2","Cap","LW",2006,"valid"
"MT","3","2","Cap","LW",2007,"valid"
"MT","3","2","Cap","LW",2011,"valid"
"MT","3","2","Cap","LW",2014,"valid"
"MT","3","2","Cap","LW",2015,"valid"
"MT","3","2","Cap","LW",2017,"valid"
"MT","3","2","Cap","LW",2018,"evtlMixed"
"MT","3","2","Cap","LW",2019,"valid"
