CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-08-01 00:00,mm,100.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-09-01 00:00,mm,53.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-10-01 00:00,mm,232.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-11-01 00:00,mm,37.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-12-01 00:00,mm,66.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-01-01 00:00,mm,18.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-02-01 00:00,mm,60.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-03-01 00:00,mm,21.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-04-01 00:00,mm,46,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-05-01 00:00,mm,120.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-06-01 00:00,mm,172.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-07-01 00:00,mm,74.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-08-01 00:00,mm,118.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-09-01 00:00,mm,218,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-10-01 00:00,mm,162.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1984-11-01 00:00,mm,107,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-01-01 00:00,mm,22.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-02-01 00:00,mm,22.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-03-01 00:00,mm,141.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-04-01 00:00,mm,163,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-05-01 00:00,mm,87.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-06-01 00:00,mm,138.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-07-01 00:00,mm,179.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-08-01 00:00,mm,106.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-09-01 00:00,mm,107.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-10-01 00:00,mm,194.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-11-01 00:00,mm,85.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1985-12-01 00:00,mm,29,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-01-01 00:00,mm,30.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-02-01 00:00,mm,82.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-03-01 00:00,mm,43,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-04-01 00:00,mm,184.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-05-01 00:00,mm,230.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-06-01 00:00,mm,81.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-07-01 00:00,mm,61.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-08-01 00:00,mm,107.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-09-01 00:00,mm,171.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-10-01 00:00,mm,210.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-11-01 00:00,mm,87.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1986-12-01 00:00,mm,10.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-01-01 00:00,mm,32.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-02-01 00:00,mm,29.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-03-01 00:00,mm,52.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-04-01 00:00,mm,124.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-05-01 00:00,mm,209.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-06-01 00:00,mm,141.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-07-01 00:00,mm,115.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-08-01 00:00,mm,153.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-09-01 00:00,mm,156.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-10-01 00:00,mm,295.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-11-01 00:00,mm,42.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1987-12-01 00:00,mm,25.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-01-01 00:00,mm,5.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-02-01 00:00,mm,65,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-03-01 00:00,mm,24.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-04-01 00:00,mm,59.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-05-01 00:00,mm,119.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-06-01 00:00,mm,131.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-07-01 00:00,mm,202.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-08-01 00:00,mm,273.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1988-09-01 00:00,mm,93.8,Preliminar
